model,r2_score,mse,mae,rmse
RandomForestRegressor,0.9690559163570391,43008056.53820328,5190.857476602857,6558.052800809343
XGBRegressor,0.9776952862739563,31000522.0,4438.998046875,5567.811239616515
LGBMRegressor,0.9773721529555405,31449621.719443303,4468.556341725221,5607.996230334263
